,z_values,p_values,adj_p_values
cascade vs model,1.666666666666667,0.09558070454562939,0.2867421136368882
cascade vs 2nd_model,0.5833333333333333,0.5596689271994115,1.0
cascade vs voting,0.25,0.8025873486341526,1.0
