,z_values,p_values,adj_p_values
cascade vs 2nd_model,1.416666666666667,0.15658040708963483,0.4697412212689045
cascade vs model,0.8333333333333333,0.4046567619272863,1.0
cascade vs voting,0.25,0.8025873486341526,1.0
