,z_values,p_values,adj_p_values
cascade vs voting,1.25,0.2112995473337107,0.6338986420011321
cascade vs 2nd_model,0.5833333333333335,0.5596689271994113,1.0
cascade vs model,0.16666666666666652,0.8676323347781929,1.0
