,model,2nd_model,cascade,voting
0,0.6757616430267345,0.6757616430267345,0.6750725059004311,0.6757616430267345
1,14.546649781313937,14.546649781313937,14.630160815937897,14.546649781313937
2,4154047.498747278,4154047.498747278,4141344.9245894826,4154047.498747278
3,543070.5932269846,543070.5932269846,427241.6139679996,543070.5932269846
4,327932.9021234411,327932.9021234411,337939.4338783511,327932.9021234411
5,17.193956662903727,17.193956662903727,17.50126343080575,17.193956662903727
6,519551.0378065653,519551.0378065653,527370.4725413416,519551.0378065653
7,1.1072111896884436,1.1072111896884436,1.1095352804133267,1.1072111896884436
8,337374.9373184976,337374.9373184976,337054.279647126,337374.9373184976
9,10317478.751221323,10317478.751221323,10753366.274704115,10317478.751221323
10,0.1124681626848877,0.1124681626848877,0.1135885079631761,0.1124681626848877
11,12.382446225998958,12.382446225998958,12.274064488210884,12.382446225998958
