,model,2nd_model,cascade,voting
0,0.5894741554167948,1.0877364680670734,0.6428375771604938,0.6667400240902466
1,14.097276012188155,27.081258790436006,21.700843881856542,17.393468641851037
2,4128266.163033046,8727961.72909744,5215536.477963938,5360346.787065938
3,3861564.9539603847,839777.7689711561,1000783.067068868,1459889.6372997195
4,299695.11715532065,678706.4273284461,314990.7247505702,392176.5994829328
5,22.26704479850099,35.91464313734932,20.869529081957552,27.202565404120563
6,559041.785378256,904622.5994932572,736078.2662807903,599839.0992029654
7,0.9056739019960428,2.063855209135232,1.653543591224019,1.1810716731559607
8,330211.1762874329,660129.3267682216,408851.4956926664,438517.6790426328
9,8043454.621426973,15597191.01455853,12400988.442956343,9416792.979991425
10,0.1031899695968114,0.2164078671601123,0.1399344571782659,0.1231587583931841
11,14.248145308025212,16.025764420750733,14.70236435129358,14.656868370398303
