,model,2nd_model,cascade,voting
0,0.6204461919763372,1.0877364680670734,0.754990485347435,0.6705722200564954
1,31.27902402127611,27.081258790436006,26.18576828410689,21.50021022424549
2,18573955.734464835,8727961.72909744,9094122.82103115,9890987.5422079
3,12009043.032984473,839777.7689711561,1411021.0300279749,3617382.77227628
4,545556.0856684137,678706.4273284461,573623.2026422692,452862.6466008657
5,25.315584460592618,35.91464313734932,31.04608796812762,27.22112850201105
6,965280.5146939856,904622.5994932572,740356.3514817572,670448.9769680477
7,1.0634140558375351,2.063855209135232,1.9437107069540671,1.17603857837469
8,425008.1177665319,660129.3267682216,494992.3253462424,472317.20038367977
9,19618762.373421125,15597191.01455853,13576260.530927572,10085957.660433428
10,0.1074007480962725,0.2164078671601123,0.1220714863233791,0.1181625434326212
11,19.667907214856783,16.025764420750733,19.740380530174864,15.42678361800784
