,model,2nd_model,cascade,voting
0,0.6204461919763372,0.6204461919763372,0.6081553472559036,0.6204461919763372
1,31.27902402127611,31.27902402127611,25.99939310565994,31.27902402127611
2,18573955.734464835,18573955.734464835,18873814.096114542,18573955.734464835
3,12009043.032984473,12009043.032984473,12448554.293587962,12009043.032984473
4,545556.0856684137,545556.0856684137,547468.631361563,545556.0856684137
5,25.315584460592618,25.315584460592618,26.31673193877724,25.315584460592618
6,965280.5146939856,965280.5146939856,1031289.2379441416,965280.5146939856
7,1.0634140558375351,1.0634140558375351,1.072905649780946,1.0634140558375351
8,425008.1177665319,425008.1177665319,427245.6614518007,425008.1177665319
9,19618762.373421125,19618762.373421125,19706083.70941997,19618762.373421125
10,0.1074007480962725,0.1074007480962725,0.1077830865357571,0.1074007480962725
11,19.667907214856783,19.667907214856783,18.304397264317707,19.667907214856783
