,model,2nd_model,cascade,voting
0,0.5894741554167948,0.6204461919763372,0.5903737485599532,0.5793439286924911
1,14.097276012188155,31.27902402127611,14.277487603686565,17.545798637648826
2,4128266.163033046,18573955.734464835,18711886.83039901,8358009.546969696
3,3861564.9539603847,12009043.032984473,12204059.361392822,6513139.692559003
4,299695.11715532065,545556.0856684137,537154.4890813174,360820.27460583113
5,22.26704479850099,25.315584460592618,22.028860558762904,22.283883492220493
6,559041.785378256,965280.5146939856,912943.893306274,596955.4357849979
7,0.9056739019960428,1.0634140558375351,0.9293562302237472,0.9255342355363244
8,330211.1762874329,425008.1177665319,404367.9771788952,346095.57252356526
9,8043454.621426973,19618762.373421125,19651707.548216205,9406715.107038757
10,0.1031899695968114,0.1074007480962725,0.1043070466174775,0.0996174634092779
11,14.248145308025212,19.667907214856783,11.90804035584358,13.68581686124704
