,model,2nd_model,cascade,voting
0,0.6757616430267345,0.6204461919763372,0.6082344269412445,0.6153720018980441
1,14.546649781313937,31.27902402127611,14.764914974650347,17.160617110635133
2,4154047.498747278,18573955.734464835,18679652.55372429,8078732.942697965
3,543070.5932269846,12009043.032984473,11876346.178243078,3655179.335367112
4,327932.9021234411,545556.0856684137,535274.1299285748,356297.5467418157
5,17.193956662903727,25.315584460592618,16.909594323396348,19.229787435105447
6,519551.0378065653,965280.5146939856,907207.9624282598,587337.0962400192
7,1.1072111896884436,1.0634140558375351,1.1131665520148704,0.9657988739115396
8,337374.9373184976,425008.1177665319,401699.17889754166,341355.91907177767
9,10317478.751221323,19618762.373421125,19636878.023229837,9074320.90370667
10,0.1124681626848877,0.1074007480962725,0.1055578584280641,0.1029326967642051
11,12.382446225998958,19.667907214856783,10.892545265569286,12.692676366215906
