,model,2nd_model,cascade,voting
0,0.6204461919763372,0.6757616430267345,0.5608383033023708,0.6153720018980441
1,31.27902402127611,14.546649781313937,15.100609063524631,17.160617110635133
2,18573955.734464835,4154047.498747278,4251128.088741251,8078732.942697965
3,12009043.032984473,543070.5932269846,480374.6005154497,3655179.335367112
4,545556.0856684137,327932.9021234411,335968.2067146072,356297.5467418157
5,25.315584460592618,17.193956662903727,18.784667937168305,19.229787435105447
6,965280.5146939856,519551.0378065653,492196.4690833191,587337.0962400192
7,1.0634140558375351,1.1072111896884436,1.1231974232729516,0.9657988739115396
8,425008.1177665319,337374.9373184976,354916.3375394636,341355.91907177767
9,19618762.373421125,10317478.751221323,11401677.247595713,9074320.90370667
10,0.1074007480962725,0.1124681626848877,0.1159656743840273,0.1029326967642051
11,19.667907214856783,12.382446225998958,10.716203851507249,12.692676366215906
