,model,2nd_model,cascade,voting
0,1.0877364680670734,1.0877364680670734,1.1530557966820985,1.0497111304012343
1,27.081258790436006,27.081258790436006,27.171518987341774,27.474876933895924
2,8727961.72909744,8727961.72909744,8736366.455104554,8276795.694837341
3,839777.7689711561,839777.7689711561,839748.0322881588,1049604.598846865
4,678706.4273284461,678706.4273284461,669982.4861364206,642350.6205151355
5,35.91464313734932,35.91464313734932,36.07230321891378,33.042751514134565
6,904622.5994932572,904622.5994932572,903499.8786053748,775779.987068072
7,2.063855209135232,2.063855209135232,2.0668142160636385,2.021812652360791
8,660129.3267682216,660129.3267682216,652237.6432942247,641206.9161909159
9,15597191.01455853,15597191.01455853,15755538.829675104,13284822.794376235
10,0.2164078671601123,0.2164078671601123,0.2196505873567023,0.1965645451186616
11,16.025764420750733,16.025764420750733,18.27924931053129,13.654195328416469
