,model,2nd_model,cascade,voting
0,1.0877364680670734,0.6204461919763372,0.7478395786020614,0.6799757390305037
1,27.081258790436006,31.27902402127611,26.417964528613165,21.83157524466998
2,8727961.72909744,18573955.734464835,18696251.532915547,9383170.333249643
3,839777.7689711561,12009043.032984473,11833223.092066037,3482274.4011264164
4,678706.4273284461,545556.0856684137,537080.100749954,465401.957636336
5,35.91464313734932,25.315584460592618,35.20239698059308,26.359464981396417
6,904622.5994932572,965280.5146939856,908174.3622667028,638237.160128923
7,2.063855209135232,1.0634140558375351,1.9434083982034327,1.189671998181464
8,660129.3267682216,425008.1177665319,415913.7943590832,441004.9534056219
9,15597191.01455853,19618762.373421125,19641920.184008047,10982653.75108026
10,0.2164078671601123,0.1074007480962725,0.1212334214029086,0.1306332829941471
11,16.025764420750733,19.667907214856783,12.00177483992412,13.472376258385156
