,z_values,p_values,adj_p_values
cascade vs 2nd_model,2.083333333333333,0.03722085037977263,0.11166255113931789
cascade vs voting,0.8333333333333333,0.4046567619272863,0.8093135238545726
cascade vs model,0.5833333333333335,0.5596689271994113,0.8093135238545726
