,z_values,p_values,adj_p_values
cascade vs model,1.8333333333333335,0.0667530151696345,0.2002590455089035
cascade vs voting,0.4166666666666665,0.6769222390213794,1.0
cascade vs 2nd_model,0.25,0.8025873486341526,1.0
