,z_values,p_values,adj_p_values
cascade vs voting,0.9166666666666665,0.3593173383295707,1
cascade vs 2nd_model,0.41666666666666696,0.6769222390213792,1
cascade vs model,0.16666666666666652,0.8676323347781929,1
