,z_values,p_values,adj_p_values
cascade vs voting,1.2500000000000002,0.21129954733371048,0.6338986420011314
cascade vs model,0.5,0.6170750774519738,1.0
cascade vs 2nd_model,0.4166666666666665,0.6769222390213794,1.0
