,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,1.0877364680670734,0.6757616430267345,1.080247474150104,0.6969395757932036,False,True,False
1,traffic,27.081258790436006,14.546649781313937,26.951798407211847,17.18846046786796,False,True,False
2,energy,8727961.72909744,4154047.498747278,8741164.126315113,5201495.448067142,False,True,False
3,power,839777.7689711561,543070.5932269846,838917.7768251795,525375.9691007828,False,True,False
4,parking,678706.4273284461,327932.9021234411,685134.1895993783,400451.8098844426,False,True,False
5,room,35.91464313734932,17.193956662903727,35.34124704850014,23.66413873679754,False,True,False
6,solar,904622.5994932572,519551.0378065653,904483.8772721366,603854.9713512431,False,True,False
7,kolkata,2.063855209135232,1.1072111896884436,2.0830919826046763,1.273006369217182,False,True,False
8,turbine,660129.3267682216,337374.9373184976,652206.5098531146,447202.8207822032,False,True,False
9,joho,15597191.01455853,10317478.751221323,15413991.198330604,10498184.648913726,False,True,False
10,electricity,0.2164078671601123,0.1124681626848877,0.2182979797614938,0.1320981979314359,False,True,False
11,iot,16.025764420750733,12.382446225998958,15.02020326543715,13.91200546753831,False,True,False
12,sum,27408471.255882945,16199501.738937754,27235978.373081688,17676622.534748357,0.0,12.0,0.0
