,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,1.0877364680670734,0.5894741554167948,1.0913701628628705,0.7152597642207102,False,True,False
1,traffic,27.081258790436006,14.097276012188155,27.120555046698563,17.065981168683155,False,True,False
2,energy,8727961.72909744,4128266.163033046,8720377.264343845,5428279.219793348,False,True,False
3,power,839777.7689711561,3861564.9539603847,840861.9739628969,1485875.3127805253,True,False,False
4,parking,678706.4273284461,299695.11715532065,677509.042337459,402238.01283538376,False,True,False
5,room,35.91464313734932,22.26704479850099,35.9189536943899,25.20186535674545,False,True,False
6,solar,904622.5994932572,559041.785378256,902557.4131840612,617505.3161534487,False,True,False
7,kolkata,2.063855209135232,0.9056739019960428,2.0540365883466136,1.1823800975873806,False,True,False
8,turbine,660129.3267682216,330211.1762874329,664011.7727139578,408071.71071766136,False,True,False
9,joho,15597191.01455853,8043454.621426973,15574672.164671175,9324572.85161912,False,True,False
10,electricity,0.2164078671601123,0.1031899695968114,0.2175059576242154,0.125973234909093,False,True,False
11,iot,16.025764420750733,14.248145308025212,15.684018739276926,16.84774727266782,True,True,True
12,sum,27408471.255882945,17222286.02804556,27380071.717653584,17666603.563106384,2.0,11.0,1.0
