,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6757616430267345,0.6757616430267345,0.6750725059004311,0.6757616430267345,True,False,False
1,traffic,14.546649781313937,14.546649781313937,14.630160815937897,14.546649781313937,False,False,False
2,energy,4154047.498747278,4154047.498747278,4141344.9245894826,4154047.498747278,True,False,False
3,power,543070.5932269846,543070.5932269846,427241.6139679996,543070.5932269846,True,False,False
4,parking,327932.9021234411,327932.9021234411,337939.4338783511,327932.9021234411,False,False,False
5,room,17.193956662903727,17.193956662903727,17.50126343080575,17.193956662903727,False,False,False
6,solar,519551.0378065653,519551.0378065653,527370.4725413416,519551.0378065653,False,False,False
7,kolkata,1.1072111896884436,1.1072111896884436,1.1095352804133267,1.1072111896884436,False,False,False
8,turbine,337374.9373184976,337374.9373184976,337054.279647126,337374.9373184976,True,False,False
9,joho,10317478.751221323,10317478.751221323,10753366.274704115,10317478.751221323,False,False,False
10,electricity,0.1124681626848877,0.1124681626848877,0.1135885079631761,0.1124681626848877,False,False,False
11,iot,12.382446225998958,12.382446225998958,12.274064488210884,12.382446225998958,True,False,False
12,sum,16199501.738937754,16199501.738937754,16524363.303013446,16199501.738937754,5.0,0.0,0.0
