,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6134864695409313,0.6757616430267345,0.6385099711127771,0.6134074101028197,False,False,False
1,traffic,13.208888254658936,14.546649781313937,14.486779062746653,12.71184086933605,False,False,False
2,energy,4173632.921931037,4154047.498747278,4068207.834311902,3885469.478746767,False,True,False
3,power,634171.7063489873,543070.5932269846,423364.3995392798,494194.7418049543,True,True,True
4,parking,280925.530570676,327932.9021234411,291973.5943291206,294002.8668774212,True,False,False
5,room,21.8402320301705,17.193956662903727,21.53201985007872,18.005690441105617,False,True,False
6,solar,471506.2584194441,519551.0378065653,503618.45381184126,494781.47343132616,False,False,False
7,kolkata,0.9252834720618432,1.1072111896884436,1.038581950496849,0.9760671677188206,False,False,False
8,turbine,324673.26622030773,337374.9373184976,338672.2412966315,321627.60214195965,False,False,False
9,joho,5991503.825032723,10317478.751221323,7630854.271143934,7365763.956334297,False,False,False
10,electricity,0.1032108150419093,0.1124681626848877,0.1039053214122043,0.105304707629632,True,False,False
11,iot,13.902287630355003,12.382446225998958,14.940743587803512,12.782593871999826,False,True,False
12,sum,11876464.101911847,16199501.738937754,13256743.534972453,12855885.314241193,3.0,4.0,1.0
