,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,1.0877364680670734,0.6134864695409313,1.0783887256051807,0.7018932376755058,False,True,False
1,traffic,27.081258790436006,13.208888254658936,27.03933919084037,16.854816370428974,False,True,False
2,energy,8727961.72909744,4173632.921931037,8731070.385655046,5623450.343657689,False,True,False
3,power,839777.7689711561,634171.7063489873,839385.3893769337,559147.075391798,False,True,False
4,parking,678706.4273284461,280925.530570676,673009.5579661875,451047.0592572625,False,True,False
5,room,35.91464313734932,21.8402320301705,36.05380648579256,25.275355066864428,False,True,False
6,solar,904622.5994932572,471506.2584194441,902089.77057758,578456.6400960226,False,True,False
7,kolkata,2.063855209135232,0.9252834720618432,2.0709553771330533,1.2594928613957852,False,True,False
8,turbine,660129.3267682216,324673.26622030773,659736.6726774798,429166.51851648383,False,True,False
9,joho,15597191.01455853,5991503.825032723,15424991.83117021,8326394.74324637,False,True,False
10,electricity,0.2164078671601123,0.1032108150419093,0.2183054248236977,0.1341926063300745,False,True,False
11,iot,16.025764420750733,13.902287630355003,15.505176319750207,14.046302036164876,False,True,False
12,sum,27408471.255882945,11876464.101911847,27230365.57339496,15967720.652217804,0.0,12.0,0.0
