model,2nd_model,type,feature,importance,std,column
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.004, +/- 0.003,month
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.004, +/- 0.002,next_week
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.005, +/- 0.002,hour
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.007, +/- 0.011,day
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.014, +/- 0.016,prev_day
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.018, +/- 0.011,next_day
DecisionTreeRegressor,XGBoostRegressor,voting,,796.106, +/- 9.533,ts
DecisionTreeRegressor,XGBoostRegressor,voting,,8.183, +/- 0.223,next_hour
DecisionTreeRegressor,XGBoostRegressor,voting,,4.931, +/- 0.365,hour
DecisionTreeRegressor,XGBoostRegressor,voting,,4.043, +/- 0.295,day_of_year
DecisionTreeRegressor,XGBoostRegressor,voting,,3.866, +/- 0.581,next_week
DecisionTreeRegressor,XGBoostRegressor,voting,,3.079, +/- 0.207,year
DecisionTreeRegressor,XGBoostRegressor,voting,,2.972, +/- 0.397,prev_week
DecisionTreeRegressor,XGBoostRegressor,voting,,2.887, +/- 0.058,prev_hour
DecisionTreeRegressor,XGBoostRegressor,voting,,0.920, +/- 0.171,day_of_week
DecisionTreeRegressor,XGBoostRegressor,voting,,0.696, +/- 0.094,week_of_year
DecisionTreeRegressor,XGBoostRegressor,voting,,0.455, +/- 0.158,day
DecisionTreeRegressor,XGBoostRegressor,voting,,0.387, +/- 0.145,month
DecisionTreeRegressor,XGBoostRegressor,voting,,0.225, +/- 0.109,prev_day
DecisionTreeRegressor,XGBoostRegressor,voting,,0.045, +/- 0.161,next_day
DecisionTreeRegressor,XGBoostRegressor,cascade,,844.776, +/- 14.437,preds
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.048, +/- 0.000,ts
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.003, +/- 0.004,day
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.002, +/- 0.001,hour
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,prev_day
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,day_of_year
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,next_hour
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,year
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,month
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,next_week
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,week_of_year
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,prev_hour
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,next_day
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,day_of_week
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.001, +/- 0.003,prev_week
DecisionTreeRegressor,SVR,voting,,776.497, +/- 10.390,ts
DecisionTreeRegressor,SVR,voting,,9.345, +/- 0.147,next_hour
DecisionTreeRegressor,SVR,voting,,6.452, +/- 0.298,day_of_year
DecisionTreeRegressor,SVR,voting,,5.360, +/- 0.085,year
DecisionTreeRegressor,SVR,voting,,5.325, +/- 0.222,prev_week
DecisionTreeRegressor,SVR,voting,,4.810, +/- 0.189,prev_hour
DecisionTreeRegressor,SVR,voting,,4.480, +/- 0.342,day_of_week
DecisionTreeRegressor,SVR,voting,,4.428, +/- 0.038,hour
DecisionTreeRegressor,SVR,voting,,4.174, +/- 0.461,next_week
DecisionTreeRegressor,SVR,voting,,3.272, +/- 0.048,month
DecisionTreeRegressor,SVR,voting,,3.145, +/- 0.144,week_of_year
DecisionTreeRegressor,SVR,voting,,2.360, +/- 0.482,next_day
DecisionTreeRegressor,SVR,voting,,2.321, +/- 0.095,prev_day
DecisionTreeRegressor,SVR,voting,,1.649, +/- 0.166,day
DecisionTreeRegressor,SVR,cascade,,831.247, +/- 14.769,preds
DecisionTreeRegressor,SVR,cascade,,0.012, +/- 0.006,next_day
DecisionTreeRegressor,SVR,cascade,,0.009, +/- 0.008,prev_week
DecisionTreeRegressor,SVR,cascade,,0.007, +/- 0.011,next_week
DecisionTreeRegressor,SVR,cascade,,0.001, +/- 0.006,next_hour
DecisionTreeRegressor,SVR,cascade,,-0.003, +/- 0.003,day
DecisionTreeRegressor,SVR,cascade,,-0.003, +/- 0.003,prev_day
DecisionTreeRegressor,SVR,cascade,,-0.006, +/- 0.010,day_of_week
DecisionTreeRegressor,SVR,cascade,,-0.006, +/- 0.010,week_of_year
DecisionTreeRegressor,SVR,cascade,,-0.008, +/- 0.001,hour
DecisionTreeRegressor,SVR,cascade,,-0.010, +/- 0.008,year
DecisionTreeRegressor,SVR,cascade,,-0.011, +/- 0.012,month
DecisionTreeRegressor,SVR,cascade,,-0.012, +/- 0.012,day_of_year
DecisionTreeRegressor,SVR,cascade,,-0.013, +/- 0.005,prev_hour
DecisionTreeRegressor,SVR,cascade,,-0.061, +/- 0.001,ts
DecisionTreeRegressor,GradientBoostingRegressor,voting,,811.941, +/- 9.090,ts
DecisionTreeRegressor,GradientBoostingRegressor,voting,,7.708, +/- 0.310,next_hour
DecisionTreeRegressor,GradientBoostingRegressor,voting,,4.148, +/- 0.464,prev_hour
DecisionTreeRegressor,GradientBoostingRegressor,voting,,3.759, +/- 0.068,hour
DecisionTreeRegressor,GradientBoostingRegressor,voting,,3.489, +/- 0.411,day_of_year
DecisionTreeRegressor,GradientBoostingRegressor,voting,,3.391, +/- 0.516,prev_week
DecisionTreeRegressor,GradientBoostingRegressor,voting,,3.248, +/- 0.218,year
DecisionTreeRegressor,GradientBoostingRegressor,voting,,2.327, +/- 0.383,day_of_week
DecisionTreeRegressor,GradientBoostingRegressor,voting,,1.496, +/- 0.204,next_week
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.832, +/- 0.048,month
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.623, +/- 0.150,week_of_year
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.622, +/- 0.048,prev_day
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.320, +/- 0.107,day
