model,2nd_model,type,feature,importance,std,column
RandomForestRegressor,DecisionTreeRegressor,cascade,,-0.001, +/- 0.001,prev_day
RandomForestRegressor,DecisionTreeRegressor,cascade,,-0.001, +/- 0.001,day_of_week
RandomForestRegressor,DecisionTreeRegressor,cascade,,-0.002, +/- 0.002,t
RandomForestRegressor,RandomForestRegressor,voting,,2.578, +/- 0.116,ts
RandomForestRegressor,RandomForestRegressor,voting,,0.114, +/- 0.004,hour
RandomForestRegressor,RandomForestRegressor,voting,,0.055, +/- 0.002,prev_hour
RandomForestRegressor,RandomForestRegressor,voting,,0.043, +/- 0.003,next_hour
RandomForestRegressor,RandomForestRegressor,voting,,0.029, +/- 0.003,pt08.s2(nmhc)
RandomForestRegressor,RandomForestRegressor,voting,,0.016, +/- 0.001,pt08.s1(co)
RandomForestRegressor,RandomForestRegressor,voting,,0.015, +/- 0.002,pt08.s3(nox)
RandomForestRegressor,RandomForestRegressor,voting,,0.012, +/- 0.004,ah
RandomForestRegressor,RandomForestRegressor,voting,,0.010, +/- 0.004,rh
RandomForestRegressor,RandomForestRegressor,voting,,0.008, +/- 0.001,pt08.s5(o3)
RandomForestRegressor,RandomForestRegressor,voting,,0.008, +/- 0.001,pt08.s4(no2)
RandomForestRegressor,RandomForestRegressor,voting,,0.007, +/- 0.004,t
RandomForestRegressor,RandomForestRegressor,voting,,0.006, +/- 0.001,c6h6(gt)
RandomForestRegressor,RandomForestRegressor,voting,,0.002, +/- 0.001,day_of_year
RandomForestRegressor,RandomForestRegressor,voting,,0.002, +/- 0.001,day
RandomForestRegressor,RandomForestRegressor,voting,,0.002, +/- 0.001,next_day
RandomForestRegressor,RandomForestRegressor,voting,,0.001, +/- 0.000,prev_day
RandomForestRegressor,RandomForestRegressor,voting,,0.001, +/- 0.000,year
RandomForestRegressor,RandomForestRegressor,voting,,0.000, +/- 0.000,prev_week
RandomForestRegressor,RandomForestRegressor,voting,,0.000, +/- 0.000,week_of_year
RandomForestRegressor,RandomForestRegressor,voting,,-0.000, +/- 0.000,next_week
RandomForestRegressor,RandomForestRegressor,voting,,-0.000, +/- 0.000,month
RandomForestRegressor,RandomForestRegressor,voting,,-0.001, +/- 0.000,day_of_week
RandomForestRegressor,RandomForestRegressor,cascade,,4.816, +/- 0.221,preds
RandomForestRegressor,RandomForestRegressor,cascade,,0.068, +/- 0.002,ts
RandomForestRegressor,RandomForestRegressor,cascade,,0.003, +/- 0.001,pt08.s1(co)
RandomForestRegressor,RandomForestRegressor,cascade,,0.003, +/- 0.001,next_hour
RandomForestRegressor,RandomForestRegressor,cascade,,0.002, +/- 0.001,ah
RandomForestRegressor,RandomForestRegressor,cascade,,0.002, +/- 0.000,pt08.s5(o3)
RandomForestRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,t
RandomForestRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,hour
RandomForestRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,pt08.s2(nmhc)
RandomForestRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,prev_hour
RandomForestRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,day
RandomForestRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,pt08.s4(no2)
RandomForestRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,next_day
RandomForestRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,next_week
RandomForestRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,day_of_week
RandomForestRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,prev_week
RandomForestRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,week_of_year
RandomForestRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,month
RandomForestRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,prev_day
RandomForestRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,c6h6(gt)
RandomForestRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,day_of_year
RandomForestRegressor,RandomForestRegressor,cascade,,-0.000, +/- 0.000,year
RandomForestRegressor,RandomForestRegressor,cascade,,-0.001, +/- 0.000,rh
RandomForestRegressor,RandomForestRegressor,cascade,,-0.001, +/- 0.000,pt08.s3(nox)
RandomForestRegressor,XGBoostRegressor,voting,,2.495, +/- 0.116,ts
RandomForestRegressor,XGBoostRegressor,voting,,0.134, +/- 0.009,hour
RandomForestRegressor,XGBoostRegressor,voting,,0.046, +/- 0.002,prev_hour
RandomForestRegressor,XGBoostRegressor,voting,,0.039, +/- 0.002,pt08.s1(co)
RandomForestRegressor,XGBoostRegressor,voting,,0.036, +/- 0.003,next_hour
RandomForestRegressor,XGBoostRegressor,voting,,0.030, +/- 0.000,pt08.s2(nmhc)
RandomForestRegressor,XGBoostRegressor,voting,,0.016, +/- 0.001,pt08.s5(o3)
RandomForestRegressor,XGBoostRegressor,voting,,0.015, +/- 0.004,t
RandomForestRegressor,XGBoostRegressor,voting,,0.015, +/- 0.004,ah
RandomForestRegressor,XGBoostRegressor,voting,,0.015, +/- 0.003,rh
RandomForestRegressor,XGBoostRegressor,voting,,0.014, +/- 0.003,pt08.s3(nox)
RandomForestRegressor,XGBoostRegressor,voting,,0.014, +/- 0.001,pt08.s4(no2)
RandomForestRegressor,XGBoostRegressor,voting,,0.004, +/- 0.001,c6h6(gt)
RandomForestRegressor,XGBoostRegressor,voting,,0.004, +/- 0.001,next_day
RandomForestRegressor,XGBoostRegressor,voting,,0.003, +/- 0.001,day
RandomForestRegressor,XGBoostRegressor,voting,,0.001, +/- 0.000,year
RandomForestRegressor,XGBoostRegressor,voting,,0.001, +/- 0.000,prev_day
RandomForestRegressor,XGBoostRegressor,voting,,0.000, +/- 0.000,next_week
RandomForestRegressor,XGBoostRegressor,voting,,0.000, +/- 0.001,prev_week
RandomForestRegressor,XGBoostRegressor,voting,,-0.000, +/- 0.000,week_of_year
RandomForestRegressor,XGBoostRegressor,voting,,-0.001, +/- 0.001,month
RandomForestRegressor,XGBoostRegressor,voting,,-0.001, +/- 0.001,day_of_week
RandomForestRegressor,XGBoostRegressor,voting,,-0.002, +/- 0.001,day_of_year
RandomForestRegressor,XGBoostRegressor,cascade,,5.818, +/- 0.257,preds
RandomForestRegressor,XGBoostRegressor,cascade,,0.234, +/- 0.007,ts
RandomForestRegressor,XGBoostRegressor,cascade,,0.013, +/- 0.002,hour
RandomForestRegressor,XGBoostRegressor,cascade,,0.005, +/- 0.000,pt08.s2(nmhc)
RandomForestRegressor,XGBoostRegressor,cascade,,0.005, +/- 0.001,next_hour
RandomForestRegressor,XGBoostRegressor,cascade,,0.003, +/- 0.002,prev_hour
RandomForestRegressor,XGBoostRegressor,cascade,,0.002, +/- 0.000,ah
RandomForestRegressor,XGBoostRegressor,cascade,,0.002, +/- 0.001,rh
RandomForestRegressor,XGBoostRegressor,cascade,,0.002, +/- 0.000,pt08.s5(o3)
RandomForestRegressor,XGBoostRegressor,cascade,,0.001, +/- 0.001,pt08.s4(no2)
RandomForestRegressor,XGBoostRegressor,cascade,,0.001, +/- 0.000,day_of_year
RandomForestRegressor,XGBoostRegressor,cascade,,0.001, +/- 0.000,month
RandomForestRegressor,XGBoostRegressor,cascade,,0.001, +/- 0.001,day_of_week
RandomForestRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,prev_day
RandomForestRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,day
RandomForestRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.001,t
RandomForestRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,next_day
RandomForestRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,next_week
RandomForestRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,week_of_year
RandomForestRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,year
RandomForestRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.001,pt08.s1(co)
RandomForestRegressor,XGBoostRegressor,cascade,,-0.001, +/- 0.000,prev_week
RandomForestRegressor,XGBoostRegressor,cascade,,-0.001, +/- 0.001,pt08.s3(nox)
RandomForestRegressor,XGBoostRegressor,cascade,,-0.001, +/- 0.001,c6h6(gt)
RandomForestRegressor,SVR,voting,,2.419, +/- 0.114,ts
RandomForestRegressor,SVR,voting,,0.091, +/- 0.002,hour
RandomForestRegressor,SVR,voting,,0.073, +/- 0.001,pt08.s1(co)
RandomForestRegressor,SVR,voting,,0.056, +/- 0.002,prev_hour
RandomForestRegressor,SVR,voting,,0.046, +/- 0.002,next_hour
RandomForestRegressor,SVR,voting,,0.043, +/- 0.003,pt08.s2(nmhc)
RandomForestRegressor,SVR,voting,,0.031, +/- 0.003,c6h6(gt)
RandomForestRegressor,SVR,voting,,0.025, +/- 0.001,pt08.s5(o3)
RandomForestRegressor,SVR,voting,,0.016, +/- 0.003,pt08.s4(no2)
RandomForestRegressor,SVR,voting,,0.014, +/- 0.002,next_week
RandomForestRegressor,SVR,voting,,0.011, +/- 0.004,rh
RandomForestRegressor,SVR,voting,,0.011, +/- 0.003,ah
RandomForestRegressor,SVR,voting,,0.011, +/- 0.003,pt08.s3(nox)
RandomForestRegressor,SVR,voting,,0.010, +/- 0.004,t
RandomForestRegressor,SVR,voting,,0.009, +/- 0.001,prev_day
RandomForestRegressor,SVR,voting,,0.007, +/- 0.002,day_of_week
RandomForestRegressor,SVR,voting,,0.006, +/- 0.002,week_of_year
RandomForestRegressor,SVR,voting,,0.006, +/- 0.001,next_day
RandomForestRegressor,SVR,voting,,0.006, +/- 0.002,day_of_year
RandomForestRegressor,SVR,voting,,0.005, +/- 0.001,day
RandomForestRegressor,SVR,voting,,0.004, +/- 0.002,prev_week
RandomForestRegressor,SVR,voting,,0.004, +/- 0.002,month
RandomForestRegressor,SVR,voting,,0.004, +/- 0.001,year
RandomForestRegressor,SVR,cascade,,4.434, +/- 0.187,preds
RandomForestRegressor,SVR,cascade,,0.067, +/- 0.004,ts
RandomForestRegressor,SVR,cascade,,0.023, +/- 0.002,next_hour
RandomForestRegressor,SVR,cascade,,0.018, +/- 0.004,pt08.s4(no2)
RandomForestRegressor,SVR,cascade,,0.017, +/- 0.002,c6h6(gt)
RandomForestRegressor,SVR,cascade,,0.015, +/- 0.002,next_day
RandomForestRegressor,SVR,cascade,,0.014, +/- 0.002,pt08.s2(nmhc)
RandomForestRegressor,SVR,cascade,,0.013, +/- 0.002,pt08.s5(o3)
RandomForestRegressor,SVR,cascade,,0.013, +/- 0.003,pt08.s1(co)
RandomForestRegressor,SVR,cascade,,0.010, +/- 0.001,prev_day
RandomForestRegressor,SVR,cascade,,0.009, +/- 0.002,next_week
RandomForestRegressor,SVR,cascade,,0.008, +/- 0.001,day
RandomForestRegressor,SVR,cascade,,0.008, +/- 0.002,prev_hour
RandomForestRegressor,SVR,cascade,,0.005, +/- 0.002,day_of_year
RandomForestRegressor,SVR,cascade,,0.005, +/- 0.004,prev_week
RandomForestRegressor,SVR,cascade,,0.005, +/- 0.002,month
RandomForestRegressor,SVR,cascade,,0.005, +/- 0.004,pt08.s3(nox)
RandomForestRegressor,SVR,cascade,,0.005, +/- 0.001,ah
RandomForestRegressor,SVR,cascade,,0.004, +/- 0.001,hour
RandomForestRegressor,SVR,cascade,,0.004, +/- 0.003,day_of_week
RandomForestRegressor,SVR,cascade,,0.004, +/- 0.003,week_of_year
RandomForestRegressor,SVR,cascade,,0.003, +/- 0.002,t
RandomForestRegressor,SVR,cascade,,0.002, +/- 0.002,rh
RandomForestRegressor,SVR,cascade,,0.001, +/- 0.000,year
RandomForestRegressor,GradientBoostingRegressor,voting,,2.643, +/- 0.122,ts
RandomForestRegressor,GradientBoostingRegressor,voting,,0.092, +/- 0.002,hour
RandomForestRegressor,GradientBoostingRegressor,voting,,0.075, +/- 0.003,prev_hour
RandomForestRegressor,GradientBoostingRegressor,voting,,0.050, +/- 0.004,next_hour
RandomForestRegressor,GradientBoostingRegressor,voting,,0.020, +/- 0.001,pt08.s2(nmhc)
RandomForestRegressor,GradientBoostingRegressor,voting,,0.014, +/- 0.001,pt08.s1(co)
RandomForestRegressor,GradientBoostingRegressor,voting,,0.008, +/- 0.001,pt08.s3(nox)
RandomForestRegressor,GradientBoostingRegressor,voting,,0.007, +/- 0.002,rh
RandomForestRegressor,GradientBoostingRegressor,voting,,0.007, +/- 0.002,ah
RandomForestRegressor,GradientBoostingRegressor,voting,,0.006, +/- 0.001,pt08.s5(o3)
RandomForestRegressor,GradientBoostingRegressor,voting,,0.005, +/- 0.001,pt08.s4(no2)
RandomForestRegressor,GradientBoostingRegressor,voting,,0.005, +/- 0.003,t
RandomForestRegressor,GradientBoostingRegressor,voting,,0.004, +/- 0.000,c6h6(gt)
RandomForestRegressor,GradientBoostingRegressor,voting,,0.003, +/- 0.001,day_of_year
RandomForestRegressor,GradientBoostingRegressor,voting,,0.002, +/- 0.000,day
RandomForestRegressor,GradientBoostingRegressor,voting,,0.002, +/- 0.000,next_day
RandomForestRegressor,GradientBoostingRegressor,voting,,0.001, +/- 0.000,prev_day
RandomForestRegressor,GradientBoostingRegressor,voting,,0.001, +/- 0.000,next_week
RandomForestRegressor,GradientBoostingRegressor,voting,,0.000, +/- 0.000,year
RandomForestRegressor,GradientBoostingRegressor,voting,,0.000, +/- 0.000,prev_week
RandomForestRegressor,GradientBoostingRegressor,voting,,0.000, +/- 0.000,month
RandomForestRegressor,GradientBoostingRegressor,voting,,-0.000, +/- 0.000,week_of_year
RandomForestRegressor,GradientBoostingRegressor,voting,,-0.001, +/- 0.000,day_of_week
RandomForestRegressor,GradientBoostingRegressor,cascade,,5.190, +/- 0.259,preds
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.149, +/- 0.004,ts
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.005, +/- 0.001,hour
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.002, +/- 0.000,pt08.s1(co)
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.001, +/- 0.001,prev_hour
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.001, +/- 0.000,pt08.s2(nmhc)
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.001, +/- 0.000,next_hour
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,ah
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,t
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,pt08.s5(o3)
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,c6h6(gt)
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,next_day
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,rh
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,month
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,day_of_year
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,year
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,prev_day
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,week_of_year
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,day_of_week
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,next_week
RandomForestRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,day
RandomForestRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,pt08.s4(no2)
RandomForestRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,prev_week
RandomForestRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,pt08.s3(nox)
XGBoostRegressor,,plain,,2.441, +/- 0.108,ts
XGBoostRegressor,,plain,,0.172, +/- 0.018,hour
XGBoostRegressor,,plain,,0.099, +/- 0.004,pt08.s1(co)
XGBoostRegressor,,plain,,0.047, +/- 0.003,prev_hour
XGBoostRegressor,,plain,,0.040, +/- 0.001,pt08.s4(no2)
XGBoostRegressor,,plain,,0.039, +/- 0.002,pt08.s2(nmhc)
XGBoostRegressor,,plain,,0.035, +/- 0.001,pt08.s5(o3)
XGBoostRegressor,,plain,,0.034, +/- 0.003,next_hour
XGBoostRegressor,,plain,,0.033, +/- 0.006,t
XGBoostRegressor,,plain,,0.031, +/- 0.005,ah
XGBoostRegressor,,plain,,0.029, +/- 0.004,rh
XGBoostRegressor,,plain,,0.025, +/- 0.005,pt08.s3(nox)
XGBoostRegressor,,plain,,0.021, +/- 0.003,c6h6(gt)
XGBoostRegressor,,plain,,0.006, +/- 0.003,next_day
XGBoostRegressor,,plain,,0.005, +/- 0.002,day
XGBoostRegressor,,plain,,0.002, +/- 0.001,next_week
XGBoostRegressor,,plain,,0.002, +/- 0.001,year
XGBoostRegressor,,plain,,0.002, +/- 0.001,prev_day
XGBoostRegressor,,plain,,0.000, +/- 0.000,prev_week
XGBoostRegressor,,plain,,0.000, +/- 0.001,day_of_year
XGBoostRegressor,,plain,,0.000, +/- 0.000,week_of_year
XGBoostRegressor,,plain,,-0.000, +/- 0.002,month
XGBoostRegressor,,plain,,-0.001, +/- 0.002,day_of_week
XGBoostRegressor,DecisionTreeRegressor,voting,,2.455, +/- 0.088,ts
XGBoostRegressor,DecisionTreeRegressor,voting,,0.158, +/- 0.020,hour
XGBoostRegressor,DecisionTreeRegressor,voting,,0.088, +/- 0.009,pt08.s1(co)
XGBoostRegressor,DecisionTreeRegressor,voting,,0.085, +/- 0.005,next_hour
XGBoostRegressor,DecisionTreeRegressor,voting,,0.064, +/- 0.004,pt08.s3(nox)
XGBoostRegressor,DecisionTreeRegressor,voting,,0.063, +/- 0.003,prev_hour
XGBoostRegressor,DecisionTreeRegressor,voting,,0.058, +/- 0.006,pt08.s2(nmhc)
XGBoostRegressor,DecisionTreeRegressor,voting,,0.043, +/- 0.007,rh
XGBoostRegressor,DecisionTreeRegressor,voting,,0.029, +/- 0.004,ah
XGBoostRegressor,DecisionTreeRegressor,voting,,0.024, +/- 0.007,t
XGBoostRegressor,DecisionTreeRegressor,voting,,0.022, +/- 0.005,pt08.s5(o3)
XGBoostRegressor,DecisionTreeRegressor,voting,,0.021, +/- 0.003,c6h6(gt)
XGBoostRegressor,DecisionTreeRegressor,voting,,0.020, +/- 0.004,pt08.s4(no2)
XGBoostRegressor,DecisionTreeRegressor,voting,,0.012, +/- 0.001,day
XGBoostRegressor,DecisionTreeRegressor,voting,,0.009, +/- 0.002,prev_week
XGBoostRegressor,DecisionTreeRegressor,voting,,0.007, +/- 0.007,next_day
XGBoostRegressor,DecisionTreeRegressor,voting,,0.004, +/- 0.002,prev_day
XGBoostRegressor,DecisionTreeRegressor,voting,,0.002, +/- 0.003,month
XGBoostRegressor,DecisionTreeRegressor,voting,,0.002, +/- 0.002,day_of_week
XGBoostRegressor,DecisionTreeRegressor,voting,,0.001, +/- 0.002,week_of_year
XGBoostRegressor,DecisionTreeRegressor,voting,,0.001, +/- 0.005,day_of_year
XGBoostRegressor,DecisionTreeRegressor,voting,,0.000, +/- 0.001,year
XGBoostRegressor,DecisionTreeRegressor,voting,,-0.001, +/- 0.002,next_week
XGBoostRegressor,DecisionTreeRegressor,cascade,,4.951, +/- 0.207,preds
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.111, +/- 0.010,ts
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.033, +/- 0.005,pt08.s2(nmhc)
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.022, +/- 0.004,c6h6(gt)
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.013, +/- 0.003,pt08.s4(no2)
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.012, +/- 0.003,pt08.s5(o3)
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.011, +/- 0.004,prev_hour
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.011, +/- 0.001,ah
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.007, +/- 0.002,pt08.s1(co)
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.007, +/- 0.004,next_hour
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.005, +/- 0.002,prev_day
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.005, +/- 0.001,pt08.s3(nox)
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.004, +/- 0.002,day
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.004, +/- 0.001,hour
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.002, +/- 0.003,prev_week
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.002, +/- 0.001,next_week
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.002, +/- 0.002,next_day
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.001, +/- 0.003,t
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.001, +/- 0.001,week_of_year
XGBoostRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.001,day_of_year
XGBoostRegressor,DecisionTreeRegressor,cascade,,-0.000, +/- 0.000,year
XGBoostRegressor,DecisionTreeRegressor,cascade,,-0.000, +/- 0.001,day_of_week
XGBoostRegressor,DecisionTreeRegressor,cascade,,-0.000, +/- 0.001,month
XGBoostRegressor,DecisionTreeRegressor,cascade,,-0.001, +/- 0.001,rh
XGBoostRegressor,RandomForestRegressor,voting,,2.495, +/- 0.117,ts
XGBoostRegressor,RandomForestRegressor,voting,,0.135, +/- 0.010,hour
XGBoostRegressor,RandomForestRegressor,voting,,0.044, +/- 0.002,prev_hour
XGBoostRegressor,RandomForestRegressor,voting,,0.040, +/- 0.002,pt08.s1(co)
XGBoostRegressor,RandomForestRegressor,voting,,0.033, +/- 0.003,next_hour
XGBoostRegressor,RandomForestRegressor,voting,,0.030, +/- 0.001,pt08.s2(nmhc)
XGBoostRegressor,RandomForestRegressor,voting,,0.016, +/- 0.001,pt08.s5(o3)
XGBoostRegressor,RandomForestRegressor,voting,,0.016, +/- 0.000,pt08.s4(no2)
XGBoostRegressor,RandomForestRegressor,voting,,0.015, +/- 0.003,rh
XGBoostRegressor,RandomForestRegressor,voting,,0.014, +/- 0.003,pt08.s3(nox)
XGBoostRegressor,RandomForestRegressor,voting,,0.014, +/- 0.004,ah
XGBoostRegressor,RandomForestRegressor,voting,,0.013, +/- 0.004,t
XGBoostRegressor,RandomForestRegressor,voting,,0.004, +/- 0.001,c6h6(gt)
XGBoostRegressor,RandomForestRegressor,voting,,0.003, +/- 0.002,next_day
XGBoostRegressor,RandomForestRegressor,voting,,0.003, +/- 0.001,day
XGBoostRegressor,RandomForestRegressor,voting,,0.001, +/- 0.000,prev_day
XGBoostRegressor,RandomForestRegressor,voting,,0.001, +/- 0.000,year
XGBoostRegressor,RandomForestRegressor,voting,,0.000, +/- 0.001,prev_week
XGBoostRegressor,RandomForestRegressor,voting,,-0.000, +/- 0.001,next_week
XGBoostRegressor,RandomForestRegressor,voting,,-0.001, +/- 0.000,week_of_year
XGBoostRegressor,RandomForestRegressor,voting,,-0.001, +/- 0.001,month
XGBoostRegressor,RandomForestRegressor,voting,,-0.001, +/- 0.001,day_of_week
XGBoostRegressor,RandomForestRegressor,voting,,-0.001, +/- 0.002,day_of_year
XGBoostRegressor,RandomForestRegressor,cascade,,4.654, +/- 0.198,preds
XGBoostRegressor,RandomForestRegressor,cascade,,0.067, +/- 0.004,ts
XGBoostRegressor,RandomForestRegressor,cascade,,0.003, +/- 0.000,pt08.s5(o3)
XGBoostRegressor,RandomForestRegressor,cascade,,0.002, +/- 0.000,t
XGBoostRegressor,RandomForestRegressor,cascade,,0.002, +/- 0.000,prev_hour
XGBoostRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,next_hour
XGBoostRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.001,pt08.s2(nmhc)
XGBoostRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,ah
XGBoostRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,next_day
XGBoostRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,pt08.s4(no2)
XGBoostRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,day_of_year
XGBoostRegressor,RandomForestRegressor,cascade,,0.001, +/- 0.000,c6h6(gt)
XGBoostRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,pt08.s1(co)
XGBoostRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,month
XGBoostRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,day
XGBoostRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,prev_day
XGBoostRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,prev_week
XGBoostRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,hour
XGBoostRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,day_of_week
XGBoostRegressor,RandomForestRegressor,cascade,,0.000, +/- 0.000,year
XGBoostRegressor,RandomForestRegressor,cascade,,-0.000, +/- 0.001,pt08.s3(nox)
XGBoostRegressor,RandomForestRegressor,cascade,,-0.000, +/- 0.000,next_week
XGBoostRegressor,RandomForestRegressor,cascade,,-0.000, +/- 0.000,week_of_year
XGBoostRegressor,RandomForestRegressor,cascade,,-0.001, +/- 0.000,rh
XGBoostRegressor,XGBoostRegressor,voting,,2.441, +/- 0.108,ts
XGBoostRegressor,XGBoostRegressor,voting,,0.172, +/- 0.018,hour
XGBoostRegressor,XGBoostRegressor,voting,,0.099, +/- 0.004,pt08.s1(co)
XGBoostRegressor,XGBoostRegressor,voting,,0.047, +/- 0.003,prev_hour
XGBoostRegressor,XGBoostRegressor,voting,,0.040, +/- 0.001,pt08.s4(no2)
XGBoostRegressor,XGBoostRegressor,voting,,0.039, +/- 0.002,pt08.s2(nmhc)
XGBoostRegressor,XGBoostRegressor,voting,,0.035, +/- 0.001,pt08.s5(o3)
XGBoostRegressor,XGBoostRegressor,voting,,0.034, +/- 0.003,next_hour
XGBoostRegressor,XGBoostRegressor,voting,,0.033, +/- 0.006,t
XGBoostRegressor,XGBoostRegressor,voting,,0.031, +/- 0.005,ah
XGBoostRegressor,XGBoostRegressor,voting,,0.029, +/- 0.004,rh
XGBoostRegressor,XGBoostRegressor,voting,,0.025, +/- 0.005,pt08.s3(nox)
XGBoostRegressor,XGBoostRegressor,voting,,0.021, +/- 0.003,c6h6(gt)
XGBoostRegressor,XGBoostRegressor,voting,,0.006, +/- 0.003,next_day
XGBoostRegressor,XGBoostRegressor,voting,,0.005, +/- 0.002,day
XGBoostRegressor,XGBoostRegressor,voting,,0.002, +/- 0.001,next_week
XGBoostRegressor,XGBoostRegressor,voting,,0.002, +/- 0.001,year
XGBoostRegressor,XGBoostRegressor,voting,,0.002, +/- 0.001,prev_day
XGBoostRegressor,XGBoostRegressor,voting,,0.000, +/- 0.000,prev_week
XGBoostRegressor,XGBoostRegressor,voting,,0.000, +/- 0.001,day_of_year
XGBoostRegressor,XGBoostRegressor,voting,,0.000, +/- 0.000,week_of_year
XGBoostRegressor,XGBoostRegressor,voting,,-0.000, +/- 0.002,month
XGBoostRegressor,XGBoostRegressor,voting,,-0.001, +/- 0.002,day_of_week
XGBoostRegressor,XGBoostRegressor,cascade,,5.377, +/- 0.233,preds
XGBoostRegressor,XGBoostRegressor,cascade,,0.196, +/- 0.009,ts
XGBoostRegressor,XGBoostRegressor,cascade,,0.010, +/- 0.001,next_hour
XGBoostRegressor,XGBoostRegressor,cascade,,0.008, +/- 0.001,pt08.s1(co)
XGBoostRegressor,XGBoostRegressor,cascade,,0.006, +/- 0.002,pt08.s3(nox)
XGBoostRegressor,XGBoostRegressor,cascade,,0.006, +/- 0.001,hour
